comment_message,Sentiment
high level lorrr...,positive
Zaara Sanaa Taj,neutral
Ady Razak Tini Tyrani Dygku Sa'adiah Awg Hipni,neutral
Wooooow,neutral
Eira Rara,neutral
mak ai bulu mata dy mana nk cri to hahaha,positive
Mike Lim,neutral
Nisha Mogan Christina Chiong,neutral
Gunakan Voucher ZBAPQGB2 untuk diskaun sebanyak 15% di Zalora .,neutral
Happy shopping!,positive
#zaloramy #zalora #zaloravoucher #zaloraootd,neutral
[[STICKER]],neutral
Reshini De Silva,neutral
Gunakan Voucher ZBAPQGB2 untuk diskaun sebanyak 15% di Zalora .,neutral
Happy shopping!,positive
#zaloramy #zalora #zaloravoucher #zaloraootd,neutral
zalora voucher code: ZBAP9QBB,neutral
Mior Zaireen Mohd Kamil cantik c jaket nie..,neutral
Pm,neutral
Sorry but i doubt it's can be called hijab,negative
"This not hijab, hijab suppose to long n cover the neck .not for fashion",negative
Yep...this can be called scarf only...,neutral
Hijab ape ni?,neutral
Nurdiyanah Kadir,neutral
Jaja Jays,neutral
[[STICKER]],neutral
Nabilah Hani,neutral
Kartini Kasim,neutral
Haha!,positive
GD's cafe is a must (already put in the list ????).,neutral
Good for you,positive
Yeah~,neutral
Xray Manz.. next korea trip.. he he,neutral
Vivi Mei Fen Belle Bina Bryellena Kwan Emily,neutral
Jennifer Low,neutral
Good News ???,positive
ZALORA 15% off here ??,neutral
#NAME?,neutral
Promocode >>ZBAPO373 ???? [[PHOTO]],neutral
JiaYi Chua,neutral
Tahmeena Waqar dekh yeh mady jasi lag rahi hai na,neutral
Ary han bht mil rai h,neutral
Pm for the jacket jeans .,neutral
Pm,neutral
Dinie Zuhri Shariffuddin ??????wakaka.,neutral
Hi ZALORA!,neutral
"I lost my receipt but I have the packaging and the tags intact, is it possible that I print my order receipt and send it along with my products to return?",neutral
Hi there!,neutral
This is a part of our go green campaign.,negative
So we will stop giving out tax invoices to save or mother Earth.,neutral
:),positive
"To know how to make returns, please visit this link:https://support.zalora.com.my/hc/en-us/articles/207006816-How-to-Exchange-or-Refund-Return",neutral
"Not just that, to know how to create exchange or refund, please visit this link: https://support.zalora.com.my/hc/en-us/articles/208295176-How-to-Use-the-Online-Exchange-Refund-Return-Feature [[SHARE]]",neutral
Not all the choice of zalora is nice for the contestant.you can look for better ones.if ur dressing need to change ..so much of kind out there.just my part of shareing.,positive
Protiva Pori lagbe naki aro?,neutral
"Dear Zalora, yesterday i received sms informing that my item will be deliver by COD.",neutral
Ive waited until 5:16pm then i called zalora and they asked me to wait.,neutral
And i waited until 10pm at my workplace but it is no show.,neutral
??,neutral
Hi zalora!,neutral
Love all ur stuff so much.,positive
Please produce a  giant size shoes (if can).,neutral
?? and not so many variety of size 10.,positive
You gonna killed me~what are lovely sneakers with bow on it.,positive
Dark Qat..belanja spsang...,negative
Ambik lh,neutral
anne An'ne Cahaya,neutral
Nak belanje ke..?,neutral
Mekaseh..size 7 a.k.a 39 ye,neutral
Eyah Mutalik,neutral
lawaaa,neutral
Laurara Lola,neutral
Cntik kh??,neutral
Nur Shazwana,neutral
Cantiknya ????,neutral
Nur Shazwana tp xde pun bile scroll,neutral
Thue xpe .. aku dh tgk dh,neutral
Davinder Dulku Maan <3 ^^^,positive
Erny Paloza,neutral
Wen Jun,neutral
[[GIF]],neutral
Pretty la,positive
Narvend Krishnin I need that la,neutral
#Howdoilookasia,neutral
Sha Mdnasir,neutral
??pink colour?????????,neutral
????wasap 0129014739..JB,neutral
Un Sign,neutral
????????,neutral
Honey Elda,neutral
Dah beli kat curve ari tu...,neutral
Jacket leather jer belum...,neutral
Send me phone no,neutral
"Quratul Atiqah, ""It's a secret"".",negative
"Im a barbie girl, in the barbie worldd",neutral
[[STICKER]],neutral
Eira Nabella,neutral
Kahkahkah kisah lama babe.,neutral
Skrg dh ramai sangat peminat dia??,neutral
Haha!!,positive
Tak terkira,neutral
Aida Rambelan tak apa biarla.,neutral
Biarlah dia dengan kehidupan dia sekarang.,neutral
Ha gituuuuu,neutral
Haha!!,positive
????,neutral
Ziqah Mahfary ooo ik u'll like it.,neutral
asam keping menggelodak,neutral
[[STICKER]],neutral
Arrif Hj Amli tolong aq ne rip??????,neutral
Yan Mohamed,neutral
Aduhhh laju jantung kite ??????????????,neutral
Nurul Najwa,neutral
[[STICKER]],neutral
Vivian Ding,neutral
HAHAHA handsome oh,positive
Pwint Thinzar Cho,neutral
Wanie Mohsin,neutral
Siti Aishah Noor,neutral
Apple How Li,neutral
I can't~~ I don't have OOTD de ??,neutral
"haha, can try ma ~~ since you have model body, look nice even you just wear T-shirt and short pants ????",positive
Use the code ZBAPLUWZ upon checking out on Zalora to get 15% discount on your purchase.,neutral
#Zalora #ZaloraPh #FindItOnZalora,neutral
"Salam semua, jika anda kaki shopping ZALORA boleh la klik dibawah untuk terus shopping, untuk deal yang terbaik di ZALORA.",neutral
http://invol.co/clJPI - ZALORA MOBILE MALAYSIA,neutral
http://invol.co/clJPK - ZALORA MALAYSIA [[SHARE]],neutral
"Hi..td sy beli seluar track cotton on ade discount rm20 dari rm59..lepas masukkn code voucher dan buat bayaran,duit yg ditolak rm 59",neutral
Kenapa tipu customer ye?,neutral
gas hob,neutral
Shirley Toh,neutral
I wan both!,negative
opps ??????,neutral
ala comelnye Fatin Nabilah,neutral
Waaaaaaa,neutral
Heart eyes ppyong ppyong,neutral
Nak bungkusan...bglah saya hadiah... #zalora terbaik,neutral
"Parcel of course, by the way, who r u?",neutral
?,neutral
Both.. ??,neutral
Parcel of couse..huhu,neutral
Both??,neutral
Parcel,neutral
ofcoz parcel..u for what mehh.. ??,neutral
Parcel..,neutral
I grab both.. Hahaha...,positive
Hahaha...I don't want parsel,neutral
Both ??,neutral
less flattered will you???,negative
Parcel ????,neutral
Both....,neutral
how bout both???,neutral
?,neutral
????,neutral
??,neutral
You!,neutral
Both,neutral
Achera Ratnavale Anuradha Wanigaratne Amery Ng,neutral
PARCEL!,neutral
??,neutral
PARCEL!,neutral
Peifang Tai??,neutral
Omg can I get both hahaha,positive
Kimiko Foo,neutral
[[STICKER]],neutral
Sp Yong Rachel Cyy Yen Hcy order order!,neutral
!,neutral
you in the parcel.. for Nur Sakinah Abd Hamid,neutral
Omg Shuhadah Rahman,neutral
"Caryn Chan, Adeline Lim, Betty Lee",neutral
pm,neutral
Sha Eika,neutral
??...cntekkknyaaa huhu,neutral
Sha Eika kann tapi mahaiiiiiiii,neutral
tu la...aishhhh kak la blnja ika..hoho,neutral
YeeMae Yeong,neutral
How much do you wish to be Lili rn rach,positive
order 212358682 what times deliver?,neutral
Nice,positive
Sadaf SH,neutral
You're so sweet and beautiful my dear friend,positive
Nurse's uniform,neutral
"Hy zalora pls cencel my order,id order 296663282 thank's",neutral
Abie Farhan ntg awek botak ni rupenye,neutral
Lme doh ntg nie...,neutral
Anita Kaur drooolll,neutral
Why am I in the picture?,neutral
Aiyooooo so shy me!!,negative
!,neutral
Hot legs you have,positive
i Know ..... legs all the way up to My armpits...??,neutral
[[STICKER]],neutral
B dgn siapa tuuuuuu...eiiii Ayah Naim,neutral
Fuhhhhh,neutral
Cookii Monz nak tissue?,neutral
I dh sedia baldi nie,neutral
Cookii Monz,neutral
Wehhh lama dah depa couple!,neutral
Melvin Gary the style tho!,neutral
ARe NgAh RX,neutral
Bijahn,neutral
Sumaiya Ariff,neutral
Hi everyone ....Get additional up to 15% OFF with enter Zalora Malaysia promo code ZBAP5UP1.,neutral
No minimum purchase.,neutral
Valid for limited time period.,negative
Happy saving and Happy weekend!,positive
Hi pls check yr PM.. tqvm,neutral
Siti Aisyah Shah Angel,neutral
How much,positive
Pm,neutral
[[STICKER]],neutral
Cc Anisakinah Abidin,neutral
Xtau laa.,neutral
Nnti kita check,neutral
Comelnyaaa Yanaa Froggie,neutral
Comelnyaaaaaa ??????,neutral
Fara Wahida,neutral
Mohon belanja,neutral
Comel Xendra Vexfeur,neutral
Afham To,neutral
Cantiknye,neutral
Camenk order,neutral
Betapa hrga,neutral
Pm pls,neutral
Brpa ni.,neutral
Cantik pm,neutral
Pm,neutral
Pm,neutral
Pm,neutral
Pm,neutral
pm,neutral
pm,neutral
Pm,neutral
pm,neutral
Pm,neutral
pm,neutral
Pm,neutral
pm,neutral
Pm,neutral
pm,neutral
Pm,neutral
pm,neutral
Pm,neutral
Pm,neutral
Pm,neutral
Pm,neutral
The little fairytooth - in pose how to look adorable [[PHOTO]],positive
Nuraini Terjuni the variety of pose.. hahaha,positive
[[STICKER]],neutral
Sham Lyah Yusob Esther April Benis ok nanti kite pose macam ni,positive
Jurita Tukasan kc tgk dira,neutral
She could just put on something simple  effortlessly and still look amazing.,positive
Al fatihah.,neutral
Amazing effort by Zalora.,positive
Salute,neutral
I love everything about her appearance ??,positive
RIP....Shea.,neutral
"Dear Zalora, I have a complaint regarding your rude delivery man.",negative
Will send you an email for further details regarding the incident.,neutral
pm,neutral
Received the sms this noon.,neutral
Until now no courier arrive yet.,neutral
Want me to bertapa di rumah or how?,neutral
[[PHOTO]],neutral
meaning the service is just the same as last year...no improvement.,neutral
haishhh,neutral
Diane Khalil,neutral
Shah Angel Siti Aisyah,neutral
Pm details,neutral
Nk beli cam no ni,neutral
I ada baju ni saiz M nk letgo baru lgi sampai smlm.. berminat blh pm sy.. harga sale sy jual,neutral
Gambar,neutral
Ada lg ke?,neutral
?,neutral
How much po yung red?,positive
Shikinnnnnn..........,neutral
Dean,neutral
Dont like her.,neutral
Felingera minsan lang naman nanalo ng FCO,neutral
agree..pinakita ko lang sayo eh hehe,neutral
Nur Haziqah Izzati..ni hah brand yg awak blikan mama...kt Zalora ada!!,neutral
!,neutral
bkn....bkn yang ni..yg kakak beli beli tu seohwabi88,neutral
Oooo...lain ea,neutral
Azlina Ishak,neutral
Effa Safireen Rostam satgi pkui 10,neutral
Nombo,neutral
Sansan Tang ????? ????,neutral
Micky Sia ???challenge???????,neutral
????????????????,neutral
Nice.,positive
Zoey Tan,neutral
Aliya Soo,neutral
Pm,neutral
Mcm ner nak order,neutral
Eayyy ikin blanjeee,neutral
Mardhiah Md Zakir,neutral
Rahayu Syah Fitri,neutral
Pm,neutral
"Hi, saya ada bag ni.",neutral
Boleh PM kalau interested,positive
ada lg tak  beg tu Intan Fazlin?,neutral
Pm,neutral
Thao Hanh Chau,neutral
Kavisha Sue Ann,neutral
Pm,neutral
Hi!,neutral
It is not out yet!,neutral
Do keep a lookout.,neutral
"Launching 11am, 4 May 2017. :)",positive
#177,neutral
Pm,neutral
Rm oder,neutral
Pm pls..,neutral
pm,neutral
Pm,neutral
Pm,neutral
Pm,neutral
Price,neutral
How much?,positive
Price?,neutral
How much?,positive
Gojes photoshoot site dia Fatin Jaafar,neutral
Cantik!,neutral
Ni studio nii.,neutral
Pastu letak props bunga tu.,neutral
Mana pulak dia dpt bunga besor tu.,neutral
Ke dia buat sendiri ??,neutral
pm,neutral
apa ni Zalora Malaysia...Harga baju berubah-ubah dr semalam ada baju RM954 then turun jadi RM595.,neutral
tadi harga RM595 dah naik jadi RM955 plak.ada baju harga RM1060 lps tu jadi RM1059...ni terjadi mostly kt semua baju Rizalman Ibrahim..saya ada 3 helai baju nearly cecah RM2600 dlm shopping cart just pending nk proceed byr psl saya nk browse thru cari baju2 lain but then bila nk proceed byr harga semua berubah jadi mahal...sorry la saya kecewa nak beli & remove all item psl saya dah tak percaya harga2 yang di display.,positive
"Hai Farah Diyana, kami mohon maaf atas kesulitan yang telah anda alami.",neutral
"Seperti yang disemak, harga barang Rizalman kini sudah ditetapkan seperti yang dipaparkan di platfom ZALORA kami.",neutral
Kami percaya platfom kami ada mengalami masalah teknikal waktu pelancaran barang Rizalman.,neutral
"Tetapi, jangan risau kerana perkara tersebut telah diperbaiki seperti biasa.",neutral
"Jika anda ingin kepastian ke atas barang-barang RIzalman yang dijual di platfom ZALORA kami, anda boleh PM kami agar kami dapat membantu anda dengan sedemikiannya.",neutral
tlg jgn delete plak comment saya psl comment sebelum ni dah di delete..Penggunaditipu dan dikelirukan boleh komplen kat kementerian.,neutral
"we should maintain a festive look everywhere we go, remember that",neutral
How much 1 set?,positive
Nisa Khalim,neutral
Special offers ZALORA,positive
"Register For Free Here, Get 5% and 12% Discount Now!!",positive
!,neutral
http://bit.ly/MSSMembershiPartners,neutral
? [[SHARE]],neutral
Sadaf SH,neutral
Personal shopper please,neutral
Farra Maisara cntiknyee!,neutral
!????,neutral
Cantikkk!,neutral
beli laaa ??,neutral
Sh Nadera Sh,neutral
Xble bka link ni,neutral
"Hello, why each time I purchase item on zalora, gdex won't send it to my exact address..",positive
It should be sent to my door right?,positive
Dinie Zuhri Shariffuddin,neutral
Page not found lor.,neutral
Hi!,neutral
So sorry about that!,negative
You can try this link: https://www.zalora.com.my/skin-inc-limited-edition-disneys-beauty-and-the-beast-get-glown-kit-1231036.html [[SHARE]],neutral
Xi Meymey Ainaanii Rodhiah,neutral
Ayen Cheah II,neutral
Your number is not reachable 0320356622.,neutral
Please advise tq,neutral
Lim Jasmine suite you,neutral
Pm plz,neutral
Dinie Zuhri Shariffuddin fy lebbbbb??,neutral
Tynne Tynne,neutral
Sulochana Ratna Kumar,neutral
Black!,negative
Tracy Celine ??,neutral
Look nice,positive
Stephanie Bark this is the one i told u last time!,neutral
Omg this one so beautiful lehhhhhhhh !,positive
harga berapa ye?,neutral
cantik warnanya,neutral
Nana Jeanna klw jumpe nie ckp yo... Haha,positive
"Ni warna merah , Mcm lip ice gituuu",neutral
Boleh..janji bkn coklat ??,neutral
[[STICKER]],neutral
Yaya Sophea ..ne la yg aku ckp d whtpp tu...,neutral
Ko mo belikn aku Suhaimi K. Padillah ????,neutral
Tharchayainee Tangarajoo Malini Maheendran Carol John,neutral
Tze Syan,neutral
Tracy Liew,neutral
Losyiyini Palaniasamy,neutral
Wah!!!,neutral
Thanks Azreen Azlan...  Muaaaxxx,positive
Ini berapa harga nya ?,neutral
What is the code of sandals ?,neutral
And how much ?,positive
Cant find it kasi eh.,neutral
Thankyou [[PHOTO]],neutral
GIMME FREE COUPONS.,positive
.LOL,neutral
kenapa kod tidak sah.. sila bagi penjelasan.. jgn sampai saya ambil tindakkan yg serius [[PHOTO]],neutral
Aliyn Asleiyna,neutral
Hasmuni Lina,neutral
"Hi Zalora Malaysia, pls cancel this order immediately which I mistakenly ordered.",neutral
Order ID.,neutral
229361562 and 229161562,neutral
thanks!,positive
Ko kne email or msj kt zalora pnye pages  lh..kt sni jd mnde..ha3,neutral
hahaha..dh email dah call bagai dh.xpe la.klu x.nnti mase cod aku reject.,neutral
how much would this dress be for the one j-lo is wearing,positive
MCM mne nk oder,neutral
Fieyda Ismail...lawa la yg wane merah tu..,neutral
sorry i berkemban jer,negative
Woha...da memlm ni kemain plk ko ye.keban la apa la...sok mandi awal lagikkkk le tu.pahammmm...wakakakaaa,neutral
eiiii,neutral
[[STICKER]],neutral
Naantheni Ravi,neutral
Excuse me.,negative
Nobody dressed this way to attend class at Uni.,neutral
Respected Unis have their own dress code.,positive
Niklas Yong,neutral
Pm,neutral
My fvrt colour,neutral
dear zalora.,neutral
please restock this item .,neutral
[[PHOTO]],neutral
So sorry as we don't usually restock.,negative
But do check out this colou: https://www.zalora.com.my/superdry-scuba-marl-flip-flops-red-multi-1161611.html :) [[SHARE]],positive
"nice respond , but i dont think that maroon colour suit me right ?? btw thanks for your time ,",positive
better double check your discount .,positive
[[PHOTO]],neutral
Nanna Ahbui nah deng cun mun ktk makey ????,neutral
Hahaha ladies na.. ahahha,positive
Nanna Ahbui hahaha ya mun ktk maok lah eleh ktk yaa haha,positive
Hahaha sik ok. Sik akan,positive
hahaha baik mem !,positive
Pm,neutral
Isyah Zul,neutral
Wahhh greennn!,neutral
I loikeee,neutral
[[STICKER]],neutral
TAWARAN HEBAT!!,neutral
!,neutral
ANDA SELALU SHOPPING DI ZALORA??,neutral
?,neutral
BERMINAT  PADA BARANGAN YANG DITAWARKAN!!,neutral
!,neutral
DAAAANNNNNNNNN BAGAIMANA,neutral
NAK JIMAT  DENGAN SETIAP PEMBELIAN  DI ZALORA??,neutral
?,neutral
Berita baik kepada semua pengguna tegar Zalora,neutral
Nikmati 12% Cash Point and 1% x Reward Points untuk setiap belian.,neutral
Sila klik link di bawah ??,neutral
Keat,neutral
TAWARAN HEBAT!!,neutral
!,neutral
ANDA SELALU SHOPPING DI ZALORA??,neutral
?,neutral
NAK JIMAT ??,neutral
?,neutral
Berita baik kepada semua pengguna tegar Zalora,neutral
Nikmati 12% Cash Point and 1% x Reward Points untuk setiap belian.,neutral
Sila klik link di bawah ??,neutral
Pm,neutral
So sad.,negative
U dont do flash sale anymore,neutral
[[STICKER]],neutral
How much,positive
Pm,neutral
It's my THIRD UNHAPPY EXPERIENCE caused by Zalora's courier service.,negative
"Please investigate the issue as I request final delivery to be completed by today, or order cancellation and full refund should be processed.",positive
[[PHOTO]],neutral
thats truly a retarded saying.,negative
who i am is in my mind and what i wear is none of your concern.,neutral
clothing is for warmth and comfort..not for self fulfilment bullshit,neutral
How get this products N how to order N how  much the price?,positive
pm,neutral
Lyn Is ku suka batik lepas nya!,neutral
NAK DAPAT POINT TAK??,neutral
?,neutral
Setiap kali makan ??,neutral
Setiap kali shopping ????,neutral
Setiap kali tempahan ??,neutral
Setiap kali shopping online ??,neutral
"(Lazada, Zalora, Agoda, Sephora dll)",neutral
Dapat point?,neutral
Point tu korang boleh redeem balik?,neutral
Nak x?,neutral
Mesti nak kan?,neutral
Haa nie cara dia!,neutral
Klik link nie,neutral
  http://mssp-sys.aj.my/JoinUs/JoinUs.aspx?a=V%2bL4uHkgmtXPhyKNfrRk7Q%3d%3d,neutral
Free ja daftar!,positive
Xmerugikan apa2.. saya dah daftar anda bila lagi?,neutral
[[SHARE]],neutral
I miss the 25% promo code ??,neutral
"Hello, where is the winner list for this?",neutral
can i know what brand is this?,neutral
do u have the direct link to this product?,positive
[[PHOTO]],neutral
Wei Lun ???,neutral
seriously blockbuster?,negative
I cann see they are still expensive !!!!!!!!!!,negative
!,neutral
Pm,neutral
pm,neutral
my bithday date!,neutral
my bithday date!,neutral
12/12 my birthday ..,neutral
Zalora tak sponsor hadiah utk sy ke?hehe,neutral
how much,positive
how much,positive
"After 3 days of waiting, with countless emails and phone calls, I am deeply disappointed.",negative
"With the promise that it will be delivered yesterday, there's still no sign of my item.",neutral
"qoi1,",neutral
Xleh purchase kat apps kenape?,neutral
"Dear ZALORA, may i know what happened to your website?",neutral
"this is my third attempt to buy the same item from ZALORA, and the same message appeared every time i try to make payment.",neutral
"The www.zalora.com.my page isn’t working	neutral
www.zalora.com.my is currently unable to handle this request.	negative
HTTP ERROR 503 [[SHARE]]",neutral
Hi there!,neutral
We are so sorry.,negative
May you kindly try to clear cache and browsing history then try to login again.,positive
Please let us know if you are having this issue again.,neutral
:),positive
Hi Zalora.,neutral
"I missed the dates big time ?? If I go to Rizalman's boutique, would there still be any display there of Rizalman Bridalwear for Zalora?",neutral
Hi!,neutral
"We really can't promise you that, Nadia.",positive
Maybe you can call the boutique and ask :),positive
Asminurashira Ali,neutral
Syahz Lynn klu kita pkai nie utk raya tahun depan  ok x ??,positive
Aduduhhhhh,neutral
Pm harga,neutral
I like red,neutral
i have a comment of my parcel delivery.. ive send a message.,neutral
please response.,neutral
i have a comment of my parcel delivery.. ive send a message.,neutral
please response.,neutral
magkano,neutral
Magkano capapcious bag,neutral
magkano,neutral
Magkano,neutral
http://www.thegarfu.com/index.php/2016/11/08/instant-games-nafas-baru-buat-facebook-massenger/ [[SHARE]],neutral
kt mitsui klia ade x h.bag mcm ni,neutral
Hang jangann......,neutral
Halawani Sahail cantik bhaii,neutral
Nor Faezah Zakaria,neutral
how to order,neutral
Hi!,neutral
We are operating online.,neutral
You can place the order at our website:https://www.zalora.com.my/.,neutral
"To know how, you can go to this link: http://support.zalora.com.my/hc/en-us/articles/205027064-How-to-Place-an-Order.",neutral
"Before that, you must have an account with us.",neutral
" To know how may make an account, you can go to this link: http://support.zalora.com.my/hc/en-us/articles/205294600-Creating-an-Account :) [[SHARE]]",positive
Pm,neutral
Pm,neutral
Pm,neutral
????,neutral
???Pm,neutral
pm,neutral
Tahniah Dato.. :),positive
XueMei Mook,neutral
Zi Yu,neutral
Pm prise dear tq,neutral
Try to search the same as in the photo but failed to find it..,negative
pn berapa harga  ya sy nak beli,neutral
berapa pn,neutral
Pm pls,neutral
[[STICKER]],neutral
Can u check out payment order 272847122 because I had done made payment,neutral
Hi there!,neutral
Yes the status is now out for delivery!,neutral
Hope you wll receive the parcel soon!,neutral
:),positive
I had received today.. Tq for the delivery..,neutral
That is great!,positive
Thanks so much!,positive
<3,positive
"Hello , saya dah buat pembayaran melaui bank kenapa kata belum bayar lagi.. Xkan laaa duit saya lesap begitu sahaja tapi barang xdpt.. Boleh Bantu saya?",neutral
[[STICKER]],neutral
How much?,positive
Hm?,neutral
??,neutral
?,neutral
Pm hrga,neutral
Pm plsssssa,neutral
Pm price,neutral
ZALORA is definately the most terrible and worst online shopping that i had experience before.,negative
I didn't get my parcel since i ordered from Zalora last friday.,neutral
I can't even track my parcel from the link they provided.,neutral
"They are using Gdex for sending the parcel, however when i tried the track the parcel throught the GDEX website, it shows ""no such address"".",neutral
DEFINATELY WON'T BUY FROM ZALORA AGAIN!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,neutral
!,neutral
We are so sorry.,negative
We've must have missed this.,neutral
May you kindly PM us so that we could help you check?,positive
Thank you.,neutral
Pls pm,neutral
any free delivery without minimum spending promotion?,positive
Hi.,neutral
I am still waiting for my package and also a reply to my enquiry on my order.,neutral
"I've placed my order on Tuesday, 27th September.",neutral
"And to this day, I haven't received my package yet.",neutral
Is there a problem?,neutral
Hi there!,neutral
We are so sorry.,negative
Please kindly PM us the order number so that we could assist you further assist you from there :),positive
Vanessa Lee,neutral
this watch what brand?,neutral
i try to click there but doesnt take me to the watch picture only homepage.,neutral
Can anyone tell me how to purchase this one.. [[PHOTO]],neutral
Hi!,neutral
You can check this link: https://www.zalora.com.my/eone/ :) [[SHARE]],positive
Thanks zalora i found it ??,positive
Most welcome!,positive
How much pls?,positive
????,neutral
????,neutral
????,neutral
????,neutral
Lay Hui Saw,neutral
I more like the plan colour eh,positive
"Like the navy blue, haha ????",positive
Yes??,neutral
Danny Osaka,neutral
Priscilla Tan Sze Yan,neutral
MALAYSIA!,neutral
All the way!,neutral
;),positive
Malaysiaaa for the win!,positive
????,neutral
My votes 100% on Malaysia Rubini Rubi??,neutral
Malaysia ????????????,neutral
Malaysiaaa ????,neutral
???????? [[PHOTO]],neutral
Got mine!,neutral
Tq zalora!,neutral
"Try to purchase some, unfortunately can't add in cart....",negative
Tq zalora?? done????????,neutral
Pm,neutral
Pm,neutral
Pm,neutral
Shalhaa Ismail Min Salleh serbuuuuu...... ????,neutral
Im readyyyy,neutral
disaster is comingggg????,neutral
Hahahahahaa...,neutral
pm,neutral
I wish i can get this dress for my february coming wed....,neutral
I will try saving my money to get this dress insyallah... Aminn huhuhu,neutral
pm,neutral
Wooo!!!,neutral
That's my picture!,neutral
!,neutral
pm pls,neutral
come whida...,neutral
pm,neutral
Cantik kasut tu,neutral
Got any color?,neutral
Nurafiqah 'Izzati Tarmizi,neutral
"Cool tones, very nice!",positive
(y),neutral
"can't make payment , website fail, apps more worst ...",negative
Hope so,neutral
Blouse wanita muslimah ade ke,neutral
Hai!,neutral
Ada!,neutral
Anda boleh ke link: https://www.zalora.com.my/women/pakaian-tradisional/?from=header [[SHARE]],neutral
Congratulations,neutral
So me.... but I hairless haha,positive
hahahah!,neutral
"Kifli Mally.... Ari nih awok sgt ""monday lisa""",neutral
Hahahahah cibai,neutral
[[STICKER]],neutral
RV Sharon Ravindaran,neutral
"When I first saw this, I thought this was a great idea and what a nice way to engage with customers who shop frequently on Zalora.",positive
Then I saw that there was an age limit and was only for those aged 18 - 25.,negative
LOL I suppose that's a clear direction that customers above 25 are not supposed to be shopping on Zalora,positive
"Hi Eve, thank you for your feedback.",neutral
ZALORA caters to all shoppers by offering a wide assortment of brands for different styles for women of all ages.,negative
Make Me A ZALORA Model is a great opportunity for model hopefuls to be given a once in a lifetime chance in the competitive world of modeling.,positive
"As the winner will also win a modeling contract with an international agency, we needed to align with industry standards in looking for a new model.",positive
"We hope that with the opportunity given by ZALORA and representation by one of the region's top agency, the winner will have a long successful modeling career.",positive
Love this look!,positive
Alaynna Sta Maria omg this looks like something you would wear,neutral
How much for the bag and the jumpsuit?,positive
Hi there!,neutral
You can check out the jumpsuit at: https://www.zalora.com.my/miss-selfridge-petite-bardot-tie-jumpsuit-red-1086775.html and the bag at: https://www.zalora.com.my/vincci-casual-sling-bag-red-942451.html :) [[SHARE]],positive
Hahahahaha ..,positive
"Frida Ottoman ha nko tgk ni, colorful ..",positive
Ssze Yeo,neutral
"Hey, that's me in Zalia!",neutral
Mcm mne e klw nak order?,neutral
Gorgeous shoes can definitely kick the blues away :P,positive
Hahhaah!,neutral
that is funny!,positive
:D,positive
Selamat Hari raya zalora???? [[PHOTO]],neutral
Zahira Zani agree kan?,neutral
Rezita Redzuan Nik Azma Su'aidah Sani Hani Pakhri ????,neutral
Hahaha dlm group kito sapo mok?,positive
Kak su?,neutral
Nik Azma  kan dh tag tuuu..yg mule2 tuuuu,neutral
Hahaha totally agree,positive
Kak ira ko?,neutral
"Ambo mokcik,buke mok..haha ????",neutral
Taraf mok2 la mokcik tu hahahah,neutral
Aku sokong.,neutral
Hahaha.,positive
Yayy!,neutral
!,neutral
Pls chk my inbox,neutral
Hm?,neutral
Pm,neutral
Salina El Nur Majid,neutral
How can I buy this one?,neutral
?????????,neutral
Salina El Nur Majid,neutral
Dye goda aq dhhh ????,neutral
Salina El Nur Majid ?? sama sama la kita tergoda,neutral
the guy shirt is nice!,positive
"Hi Zalora, when is your last posting for Raya?",neutral
U have cut off date ?,neutral
Thinking of your sister Zalekha Yazid,neutral
Amazing,positive
Pm,neutral
Nasyreen Amirah Auzir cantiknyaaaa,neutral
Dia blonde lagi cantik!,neutral
!,neutral
<3,positive
What happen to your support email and phone?,neutral
You guys got time to update in fb but no time to bother emails.,neutral
Hi!,neutral
How may we assist you?,neutral
How much?,positive
Pm price,neutral
Ni baru betul cara nak menjual sebab seller tunjukkan cara dan style memakai tudung yang dijual,neutral
Santeknya....,neutral
Cantikk,neutral
??,neutral
"Hermmm,tnjuk dada.. Cara pakai tudung, bkn cara menutup aurat..",neutral
Knapa tnjuk dlm bhasa english??,neutral
?nati mck2 xphm,neutral
"Shafrani Junaidi, Aneesa Adriana, Awien Qu, Lyna Shin Ae, Vanessanur Dalinte",neutral
Eh sakit otak ku mikir.. Hahahah,neutral
Stokis tiada jual ka ni?,neutral
Zalora ja?,neutral
?,neutral
kelagi lawa nya eh...dua2 design tu lawaaaa..,neutral
itu la.. ada la ni mimpi2,neutral
[[STICKER]],neutral
Putri Amilia,neutral
Sariza Sahibon,neutral
Cantikkknyaaa..,neutral
I like,neutral
Price plz?,neutral
Hi there!,neutral
"We are so sorry, but this item is out of stock :(",negative
how much,positive
Hi there!,neutral
You can go to this link: https://www.zalora.com.my/nike-nike-air-max-90-ultra-br-shoes-red-691212.html [[SHARE]],neutral
"Sir ma'am magkano po ito shoes,,",neutral
Pm price,neutral
-12WIN / LPE88 / SCR888,neutral
#NAME?,neutral
#NAME?,positive
-UNLIMITED WITHDRAW EVERYDAY !!,negative
!,neutral
-24Hours Online with customer service provided,neutral
-Fast Cash out (Confirm within 10 - 15mins MAX),positive
Wechat ID : 0162549919,neutral
Whatsapp ID : 0162549919,neutral
Play more win more GOOD LUCK HAVE FUN!,positive
zalia collection can we buy at zalora store or we must order?,neutral
can't log in!,neutral
!,neutral
Really?,positive
